Country,Happiness Rank,Happiness Score,Whisker.high,Whisker.low,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Ecuador,44,6.007999897,6.105847675,5.910152119,1.000820398,0.685636222,0.455198199,0.140134647,0.150112465
El Salvador,45,6.002999783,6.108635122,5.897364443,0.909784496,0.596018553,0.43245253,0.08998096,0.078257985
Poland,46,5.97300005,6.053908341,5.892091758,1.291787863,0.699475348,0.520342112,0.059307806,0.158465967
Uzbekistan,47,5.971000195,6.065537573,5.876462816,0.786441088,0.498272628,0.658248663,0.246528223,0.415983647
Italy,48,5.964000225,6.042736906,5.885263544,1.395066619,0.853144348,0.256450713,0.028028091,0.172789648
Russia,49,5.962999821,6.030274907,5.895724734,1.281778097,0.547349334,0.373783112,0.032962881,0.052263822
Belize,50,5.955999851,6.197242318,5.714757385,0.907975316,0.450191766,0.547509372,0.096581072,0.240015641
Japan,51,5.920000076,5.990719445,5.849280708,1.416915178,0.913475871,0.505625546,0.163760737,0.120572768
Lithuania,52,5.90199995,5.982669641,5.821330259,1.314582348,0.62894994,0.234231785,0.011865643,0.010164657
Algeria,53,5.872000217,5.978286434,5.765714001,1.091864467,0.617584646,0.233335808,0.14609611,0.069436647
Latvia,54,5.849999905,5.920263538,5.779736271,1.260748625,0.638566971,0.325707912,0.073842727,0.153074786
South Korea,55,5.837999821,5.922559028,5.753440613,1.401678443,0.900214076,0.257921666,0.063282669,0.206674367
Moldova,56,5.837999821,5.908370838,5.767628803,0.72887063,0.589465201,0.240729049,0.010091286,0.208779126
Romania,57,5.824999809,5.919694157,5.730305462,1.217683911,0.685158312,0.457003742,0.004387901,0.133519918
Bolivia,58,5.822999954,5.903976903,5.742023006,0.833756566,0.47363025,0.558732927,0.060477726,0.225560725
Turkmenistan,59,5.822000027,5.885180876,5.758819178,1.130776763,0.43772608,0.418271929,0.25927034,0.249924988
Kazakhstan,60,5.818999767,5.903641775,5.73435776,1.28455627,0.606041551,0.437454283,0.119282886,0.201964423
North Cyprus,61,5.809999943,5.897366465,5.722633421,1.346911311,0.834647238,0.471203625,0.155353352,0.266845703
Slovenia,62,5.757999897,5.84222516,5.673774634,1.341205955,0.790828228,0.572575808,0.045128979,0.242649093
